policy_id,source,sdlc_stage,sdlc_confidence,sdlc_secondary_stages,sdlc_rationale,scope,policy_description,reference
CWE-001,CWE_Top25,Design,high,Implementation,LangSec input characterization is primarily an architectural/design-time decision about how to structure input recognition.,"Architecture and Design","Consider using language-theoretic security (LangSec) techniques that characterize inputs using a formal language and build recognizers for that language.","CWE-20; REF-1109; REF-1110; REF-1111"
CWE-002,CWE_Top25,Design,high,Implementation,Selecting and integrating an input validation framework is an architectural design decision made before coding begins.,"Architecture and Design","Use an input validation framework such as Struts or the OWASP ESAPI Validation API.","CWE-20"
CWE-003,CWE_Top25,Implementation,high,Design,Understanding untrusted input entry points is primarily enforced during coding to ensure all vectors are handled.,"Architecture and Design Implementation","Understand all the potential areas where untrusted inputs can enter the product, including parameters or arguments, cookies, anything read from the network, environment variables, reverse DNS lookups, query results, request headers, URL components, e-mail, files, filenames, databases, and any external systems that provide data to the application.","CWE-20"
CWE-004,CWE_Top25,Implementation,high,,Accept-known-good input validation is a coding-phase practice applied directly in code.,"Implementation","Assume all input is malicious. Use an accept known good input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does.","CWE-20"
CWE-005,CWE_Top25,Design,high,Implementation,Ensuring server-side duplication of client-side checks is an architectural principle decided at design time.,"Architecture and Design","For any security checks that are performed on the client side, ensure that these checks are duplicated on the server side, in order to avoid CWE-602.","CWE-20; CWE-602"
CWE-006,CWE_Top25,Implementation,high,,Validating combined multi-source data is a coding-level concern applied when combining data during implementation.,"Implementation","When your application combines data from multiple sources, perform the validation after the sources have been combined.","CWE-20"
CWE-007,CWE_Top25,Implementation,high,,Cross-language-boundary input validation is enforced in code at the implementation phase.,"Implementation","Be especially careful to validate all input when invoking code that crosses language boundaries, such as from an interpreted language to native code.","CWE-20"
CWE-008,CWE_Top25,Implementation,high,,Type conversion validation is a coding practice applied during implementation.,"Implementation","Directly convert your input type into the expected data type, such as using a conversion function that translates a string into a number.","CWE-20"
CWE-009,CWE_Top25,Implementation,high,,Range and multi-field consistency validation are coding-level checks applied during implementation.,"Implementation","After converting to the expected data type, ensure that the input's values fall within the expected range of allowable values and that multi-field consistencies are maintained.","CWE-20"
CWE-010,CWE_Top25,Implementation,high,,Decoding and canonicalization before validation is a coding practice enforced during implementation.,"Implementation","Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180, CWE-181).","CWE-20; CWE-180; CWE-181"
CWE-011,CWE_Top25,Implementation,high,,Preventing double-decoding is a coding-level concern enforced during implementation.,"Implementation","Make sure that your application does not inadvertently decode the same input twice (CWE-174).","CWE-20; CWE-174"
CWE-012,CWE_Top25,Implementation,high,,Using ESAPI canonicalization libraries is an implementation-phase coding practice.,"Implementation","Use libraries such as the OWASP ESAPI Canonicalization control.","CWE-20; OWASP ESAPI"
CWE-013,CWE_Top25,Implementation,high,,Repeated canonicalization is an implementation technique applied in code.,"Implementation","Consider performing repeated canonicalization until your input does not change any more.","CWE-20"
CWE-014,CWE_Top25,Implementation,high,,Character encoding consistency between components is enforced during implementation when integrating components.,"Implementation","When exchanging data between components, ensure that both components are using the same character encoding.","CWE-20"
CWE-015,CWE_Top25,Implementation,high,,Ensuring proper encoding at each interface is a coding-level requirement.,"Implementation","Ensure that the proper encoding is applied at each interface.","CWE-20"
CWE-016,CWE_Top25,Implementation,high,,Explicitly setting encoding in protocol communications is done during coding.,"Implementation","Explicitly set the encoding you are using whenever the protocol allows you to do so.","CWE-20"
CWE-017,CWE_Top25,Design,high,Implementation,Choosing an input validation framework is an architectural design decision.,"Architecture and Design","Use an input validation framework such as Struts or the OWASP ESAPI Validation API. Note that using a framework does not automatically address all input validation problems; be mindful of weaknesses that could arise from misusing the framework itself (CWE-1173).","CWE-20; CWE-1173"
CWE-018,CWE_Top25,Implementation,high,,Accept-known-good validation strategy for path traversal prevention is applied during coding.,"Implementation","Assume all input is malicious. Use an accept known good input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications.","CWE-22"
CWE-019,CWE_Top25,Implementation,high,,Filename allowlist validation is an implementation-level coding practice.,"Implementation","When validating filenames, use stringent allowlists that limit the character set to be used.","CWE-22"
CWE-020,CWE_Top25,Implementation,high,,Limiting filename characters to prevent path traversal is an implementation-level practice.,"Implementation","If feasible, only allow a single . character in the filename to avoid weaknesses such as CWE-23, and exclude directory separators such as / to avoid CWE-36.","CWE-22; CWE-23; CWE-36"
CWE-021,CWE_Top25,Implementation,high,,File extension allowlisting is an implementation-level coding practice.,"Implementation","Use a list of allowable file extensions, which will help to avoid CWE-434.","CWE-22; CWE-434"
CWE-022,CWE_Top25,Implementation,high,,Avoiding denylist-only filtering is an implementation-level coding guidance.,"Implementation","Do not rely exclusively on a filtering mechanism that removes potentially dangerous characters. This is equivalent to a denylist, which may be incomplete (CWE-184).","CWE-22; CWE-184"
CWE-023,CWE_Top25,Implementation,high,,Using canonical path functions is a coding practice applied during implementation.,"Implementation","Use a built-in path canonicalization function (such as realpath() in C) that produces the canonical version of the pathname, which effectively removes .. sequences and symbolic links (CWE-23, CWE-59).","CWE-22; CWE-23; CWE-59"
CWE-024,CWE_Top25,Implementation,high,Design,Using vetted libraries to avoid path traversal is primarily an implementation choice.,"Implementation","Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid.","CWE-22; REF-1482"
CWE-025,CWE_Top25,Deployment,high,,Application firewall deployment is an operational/deployment-time control.,"Operation","Use an application firewall that can detect attacks against this weakness.","CWE-22; REF-1481"
CWE-026,CWE_Top25,Deployment,medium,Design,Running code with least privilege is both an architectural principle and operational configuration applied at deployment.,"Architecture and Design Operation","Run your code using the lowest privileges that are required to accomplish the necessary tasks.","CWE-22; REF-76"
CWE-027,CWE_Top25,Design,high,Implementation,Keeping command data out of external control is a design principle for command injection prevention.,"Architecture and Design","When exchanging data that may be used to generate a command to be executed, keep as much of that data out of external control as possible.","CWE-78"
CWE-028,CWE_Top25,Design,high,Implementation,Preferring library calls over external processes is an architectural design decision.,"Architecture and Design","If at all possible, use library calls rather than external processes to recreate the desired functionality.","CWE-77; CWE-78"
CWE-029,CWE_Top25,Implementation,high,,Statically creating external commands is an implementation-level coding practice.,"Implementation","If possible, ensure that all external commands called from the program are statically created.","CWE-77"
CWE-030,CWE_Top25,Implementation,high,,Runtime policy enforcement for command allowlisting is applied in code during implementation.,"Implementation","Run time: Run time policy enforcement may be used in an allowlist fashion to prevent use of any non-sanctioned commands.","CWE-77"
CWE-031,CWE_Top25,Deployment,high,,Assigning file permissions to prevent privileged file access is a system configuration/deployment concern.,"System Configuration","Assign permissions that prevent the user from accessing/opening privileged files.","CWE-77"
CWE-032,CWE_Top25,Implementation,high,,Input validation for command injection prevention is an implementation-level coding practice.,"Implementation","Assume all input is malicious. Use an accept known good input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications.","CWE-77"
