suite,framework,sample,run_id,steps_path,final_message_present,observed_event_count,analyzed_event_count,excluded_non_substantive_events,failed_or_error_events,process_counts_json,attribute_counts_json,primary_process_sequence
Calculator,Go-Fiber,sample_batch50,Calculator/Go-Fiber/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Go-Fiber/sample_batch50/logs/steps.jsonl,true,39,38,1,6,"{""adaptation"": 1, ""failure_observation_diagnosis"": 6, ""final_reporting"": 2, ""implementation_writing"": 3, ""inspection"": 7, ""orientation"": 5, ""planning"": 2, ""refinement"": 7, ""verification_build"": 3, ""verification_static"": 2}","{""defensive_coding"": 2, ""dependency_related"": 11, ""environment_or_sandbox_constraint"": 8, ""runtime_service_constraint"": 3}",orientation > orientation > inspection > inspection > adaptation > inspection > planning > implementation_writing > refinement > refinement > failure_observation_diagnosis > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > failure_observation_diagnosis > implementation_writing > failure_observation_diagnosis > orientation > inspection > inspection > planning > refinement > refinement > refinement > orientation > implementation_writing > verification_static > verification_build > orientation > inspection > refinement > refinement > verification_static > verification_build > inspection > final_reporting > final_reporting
Calculator,Go-Gin,sample_batch50,Calculator/Go-Gin/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Go-Gin/sample_batch50/logs/steps.jsonl,true,25,23,2,7,"{""failure_observation_diagnosis"": 6, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 3, ""orientation"": 1, ""refinement"": 4, ""verification_build"": 6}","{""defensive_coding"": 1, ""dependency_related"": 12, ""environment_or_sandbox_constraint"": 3, ""runtime_service_constraint"": 1}",orientation > verification_build > inspection > inspection > verification_build > inspection > implementation_writing > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > verification_build > refinement > failure_observation_diagnosis > refinement > refinement > failure_observation_diagnosis > refinement > failure_observation_diagnosis > verification_build > verification_build > failure_observation_diagnosis > final_reporting > final_reporting
Calculator,Go-net_http,sample_batch50,Calculator/Go-net_http/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Go-net_http/sample_batch50/logs/steps.jsonl,true,14,14,0,3,"{""failure_observation_diagnosis"": 3, ""final_reporting"": 1, ""implementation_writing"": 1, ""inspection"": 2, ""orientation"": 1, ""planning"": 1, ""refinement"": 1, ""verification_build"": 4}","{""defensive_coding"": 1, ""dependency_related"": 1, ""environment_or_sandbox_constraint"": 3, ""runtime_service_constraint"": 2}",orientation > verification_build > inspection > inspection > planning > implementation_writing > verification_build > failure_observation_diagnosis > refinement > verification_build > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > final_reporting
Calculator,JavaScript-express,sample_batch50,Calculator/JavaScript-express/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/JavaScript-express/sample_batch50/logs/steps.jsonl,true,24,24,0,5,"{""adaptation"": 2, ""failure_observation_diagnosis"": 5, ""final_reporting"": 1, ""implementation_writing"": 1, ""inspection"": 2, ""orientation"": 1, ""planning"": 1, ""refinement"": 4, ""verification_build"": 4, ""verification_static"": 3}","{""dependency_related"": 2, ""environment_or_sandbox_constraint"": 6, ""runtime_service_constraint"": 7}",orientation > verification_build > inspection > inspection > planning > implementation_writing > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > adaptation > refinement > adaptation > verification_static > verification_build > refinement > refinement > verification_static > failure_observation_diagnosis > refinement > verification_build > verification_static > failure_observation_diagnosis > failure_observation_diagnosis > final_reporting
Calculator,JavaScript-fastify,sample_batch50,Calculator/JavaScript-fastify/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/JavaScript-fastify/sample_batch50/logs/steps.jsonl,true,16,16,0,2,"{""adaptation"": 1, ""failure_observation_diagnosis"": 2, ""final_reporting"": 1, ""implementation_writing"": 1, ""inspection"": 2, ""orientation"": 2, ""planning"": 1, ""refinement"": 2, ""verification_build"": 2, ""verification_static"": 2}","{""dependency_related"": 2, ""runtime_service_constraint"": 3}",orientation > verification_build > inspection > inspection > planning > implementation_writing > verification_build > verification_static > failure_observation_diagnosis > adaptation > failure_observation_diagnosis > refinement > refinement > verification_static > orientation > final_reporting
Calculator,JavaScript-koa,sample_batch50,Calculator/JavaScript-koa/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/JavaScript-koa/sample_batch50/logs/steps.jsonl,true,22,21,1,5,"{""adaptation"": 1, ""failure_observation_diagnosis"": 5, ""final_reporting"": 1, ""implementation_writing"": 3, ""inspection"": 1, ""orientation"": 3, ""planning"": 2, ""refinement"": 2, ""verification_build"": 2, ""verification_static"": 1}","{""defensive_coding"": 2, ""dependency_related"": 2, ""environment_or_sandbox_constraint"": 5, ""runtime_service_constraint"": 7}",orientation > orientation > inspection > planning > implementation_writing > verification_build > failure_observation_diagnosis > adaptation > implementation_writing > implementation_writing > planning > failure_observation_diagnosis > failure_observation_diagnosis > orientation > failure_observation_diagnosis > refinement > refinement > verification_build > verification_static > failure_observation_diagnosis > final_reporting
Calculator,JavaScript-nest,sample_batch50,Calculator/JavaScript-nest/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/JavaScript-nest/sample_batch50/logs/steps.jsonl,true,18,18,0,1,"{""failure_observation_diagnosis"": 1, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 7, ""orientation"": 2, ""planning"": 2, ""refinement"": 2, ""verification_build"": 1}","{""defensive_coding"": 1, ""dependency_related"": 7, ""runtime_service_constraint"": 2}",orientation > planning > failure_observation_diagnosis > inspection > orientation > inspection > inspection > planning > implementation_writing > verification_build > inspection > inspection > refinement > refinement > inspection > inspection > final_reporting > final_reporting
Calculator,PHP-Lumen,sample_batch50,Calculator/PHP-Lumen/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/PHP-Lumen/sample_batch50/logs/steps.jsonl,true,25,25,0,3,"{""failure_observation_diagnosis"": 3, ""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 9, ""orientation"": 2, ""planning"": 3, ""refinement"": 4, ""verification_build"": 1}","{""defensive_coding"": 1, ""dependency_related"": 1, ""environment_or_sandbox_constraint"": 2, ""runtime_service_constraint"": 1}",orientation > planning > inspection > inspection > orientation > inspection > inspection > planning > planning > implementation_writing > refinement > failure_observation_diagnosis > failure_observation_diagnosis > inspection > verification_build > refinement > inspection > inspection > refinement > refinement > inspection > failure_observation_diagnosis > inspection > final_reporting > final_reporting
Calculator,Python-Django,sample_batch50,Calculator/Python-Django/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Python-Django/sample_batch50/logs/steps.jsonl,true,20,20,0,3,"{""failure_observation_diagnosis"": 3, ""final_reporting"": 2, ""implementation_writing"": 2, ""inspection"": 3, ""orientation"": 1, ""planning"": 2, ""refinement"": 2, ""verification_build"": 3, ""verification_static"": 2}","{""defensive_coding"": 4, ""dependency_related"": 3, ""environment_or_sandbox_constraint"": 2, ""runtime_service_constraint"": 1}",orientation > planning > inspection > inspection > planning > implementation_writing > inspection > verification_build > implementation_writing > verification_build > failure_observation_diagnosis > failure_observation_diagnosis > verification_build > failure_observation_diagnosis > verification_static > refinement > refinement > verification_static > final_reporting > final_reporting
Calculator,Python-FastAPI,sample_batch50,Calculator/Python-FastAPI/sample_batch50,data/raw/baxbench/runs/codex/gpt-5.4-mini/codex-cli-agent/Calculator/Python-FastAPI/sample_batch50/logs/steps.jsonl,true,12,12,0,0,"{""final_reporting"": 2, ""implementation_writing"": 1, ""inspection"": 1, ""orientation"": 1, ""planning"": 1, ""refinement"": 2, ""verification_build"": 2, ""verification_static"": 2}","{""defensive_coding"": 3, ""runtime_service_constraint"": 2}",orientation > verification_build > inspection > planning > implementation_writing > verification_build > verification_static > refinement > refinement > verification_static > final_reporting > final_reporting
