scope,dimension,left,right,cosine_transition_similarity,top_sequence_jaccard
all,agent,claude_code,claudecode-opus47,0.13265720324087876,0.0
all,agent,claude_code,codex,0.702135190294451,0.0
all,agent,claude_code,codex-gpt54,0.15278725461659598,0.0
all,agent,claude_code,openhands,0.39451066950872005,0.0
all,agent,claude_code,openhands-gpt54,0.30057024195362186,0.0
all,agent,claudecode-opus47,codex,0.12611451044972613,0.0
all,agent,claudecode-opus47,codex-gpt54,0.16031811117155212,0.0
all,agent,claudecode-opus47,openhands,0.10211352473826901,0.0
all,agent,claudecode-opus47,openhands-gpt54,0.1642938085835998,0.0
all,agent,codex,codex-gpt54,0.21741180241815614,0.0
all,agent,codex,openhands,0.4170203362096036,0.0
all,agent,codex,openhands-gpt54,0.33569785210608777,0.0
all,agent,codex-gpt54,openhands,0.08634053435340676,0.0
all,agent,codex-gpt54,openhands-gpt54,0.34964578256644646,0.02040816326530612
all,agent,openhands,openhands-gpt54,0.12992716801225376,0.0
all,language,c,cpp,0.5847534002278956,0.1111111111111111
all,language,c,go,0.9320978278724104,0.08695652173913043
all,language,c,javascript,0.7096562566583193,0.08695652173913043
all,language,c,php,0.6110350481112282,0.0
all,language,c,python,0.6874252799681183,0.1111111111111111
all,language,c,ruby,0.60124595695216,0.0
all,language,c,rust,0.6783451402104463,0.0
all,language,cpp,go,0.584894606949132,0.13636363636363635
all,language,cpp,javascript,0.9176955190035184,0.08695652173913043
all,language,cpp,php,0.47083919690594805,0.0
all,language,cpp,python,0.9214244587626775,0.08695652173913043
all,language,cpp,ruby,0.43783959905595293,0.0
all,language,cpp,rust,0.5055182003511921,0.0
all,language,go,javascript,0.7403805305292531,0.1111111111111111
all,language,go,php,0.6484880270080235,0.0
all,language,go,python,0.7296972301049922,0.13636363636363635
all,language,go,ruby,0.7028114918592153,0.0
all,language,go,rust,0.820633253506519,0.0
all,language,javascript,php,0.6380509547129177,0.0
all,language,javascript,python,0.9683203875232884,0.1111111111111111
all,language,javascript,ruby,0.6340590010084102,0.0
all,language,javascript,rust,0.6696237751982569,0.0
all,language,php,python,0.5656267958363456,0.0
all,language,php,ruby,0.8392929817012145,0.02040816326530612
all,language,php,rust,0.6150149546143838,0.0
all,language,python,ruby,0.6109166741296684,0.0
all,language,python,rust,0.6910721542548683,0.0
all,language,ruby,rust,0.7495926706818938,0.0
cweval,agent,claude_code,codex,0.6770418217697188,0.0
cweval,agent,claude_code,openhands,0.39451066950872005,0.0
cweval,agent,codex,openhands,0.5235329637956797,0.0
dualgauge,agent,claudecode-opus47,codex-gpt54,0.16031811117155212,0.0
dualgauge,agent,claudecode-opus47,openhands-gpt54,0.1642938085835998,0.0
dualgauge,agent,codex-gpt54,openhands-gpt54,0.34964578256644646,0.041666666666666664
