source_file,definition,scope,policy_description,reference,agent_stage_primary,agent_stage_secondary,agent_stage_reason
LLMALL.json,Prompt Injection Vulnerability: Occurs when user prompts alter the LLM’s behavior or output in unintended ways.,All users interacting with LLM applications.,"Prompt Injection vulnerabilities exist in how models process prompts, and how input may force the model to incorrectly pass prompt data to other parts of the model, potentially causing them to violate guidelines, generate harmful content, enable unauthorized access, or influence critical decisions.",OWASP Top 10 for LLM Applications v2.0,Perception/Input,,"Primary cues: \bprompt injection\b, \binjection\b, \bprompt\b."
LLMALL.json,"Sensitive Information: Includes personal identifiable information (PII), financial details, health records, confidential business data, security credentials, and legal documents.",All users and applications utilizing LLMs.,"LLMs risk exposing sensitive data, proprietary algorithms, or confidential details through their output, which can result in unauthorized data access, privacy violations, and intellectual property breaches.",OWASP Top 10 for LLM Applications v2.0,Memory Update,,Primary cues: \brecords?\b.
LLMALL.json,"Excessive Agency: The ability of an LLM-based system to call functions or interface with other systems via extensions, potentially leading to unintended actions.",Developers and users of LLM-based applications.,"Excessive Agency can lead to damaging actions being performed in response to unexpected, ambiguous, or manipulated outputs from an LLM.",OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,,Primary cues: \bextension(s)?\b.
LLMALL.json,"Improper Output Handling: Insufficient validation, sanitization, and handling of outputs generated by LLMs before they are passed downstream.",All applications utilizing LLM outputs.,"Improper Output Handling can result in XSS and CSRF in web browsers as well as SSRF, privilege escalation, or remote code execution on backend systems.",OWASP Top 10 for LLM Applications v2.0,Perception/Input,Action/Tool Use,Primary cues: \bsanitiz(?:e|ation|ing)\b.
LLMALL.json,"Data Poisoning: Manipulation of pre-training, fine-tuning, or embedding data to introduce vulnerabilities, backdoors, or biases.","All stages of the LLM lifecycle, including pre-training, fine-tuning, and embedding.","Data poisoning can compromise model security, performance, or ethical behavior, leading to harmful outputs or impaired capabilities.",OWASP Top 10 for LLM Applications v2.0,Memory Retrieval,Evaluation/Reflection,Primary cues: \bembedding\b.
LLMALL.json,"Supply Chain Vulnerabilities: Risks associated with the integrity of training data, models, and deployment platforms.",Developers and organizations utilizing LLMs in their supply chains.,"LLM supply chains are susceptible to various vulnerabilities that can result in biased outputs, security breaches, or system failures.",OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,Evaluation/Reflection,Primary cues: \bdeploy(?:ment)?\b.
LLMALL.json,open-ended extensions: extensions that allow for broad and unrestricted functionality.,All users and applications utilizing LLM extensions.,"Avoid the use of open-ended extensions where possible (e.g., run a shell command, fetch a URL, etc.) and use extensions with more granular functionality.",OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,Perception/Input,"Primary cues: \bextension(s)?\b, \bshell command\b."
LLMALL.json,LLM extensions: components that enhance the functionality of LLM applications.,All LLM extensions in use within the organization.,Limit the permissions that LLM extensions are granted to other systems to the minimum necessary in order to limit the scope of undesirable actions.,OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,,"Primary cues: \bextension(s)?\b, \bpermissions?\b."
LLMALL.json,user context: the specific identity and permissions of a user executing actions.,All actions taken on behalf of users within LLM applications.,"Track user authorization and security scope to ensure actions taken on behalf of a user are executed on downstream systems in the context of that specific user, and with the minimum privileges necessary.",OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,,"Primary cues: \bdownstream systems?\b, \bexecute|execution\b, \bauthorization\b."
LLMALL.json,human-in-the-loop control: a process requiring human intervention for critical actions.,High-impact actions performed by LLM applications.,Utilise human-in-the-loop control to require a human to approve high-impact actions before they are taken.,OWASP Top 10 for LLM Applications v2.0,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
