group_type,group_value,sequence,count,share,median_collapsed_len,success_share
agent,claude_code,message > write_file > execute_probe > generated_code,53,0.1484593837535014,4.0,0.9433962264150944
agent,claude_code,message > error > execute_probe > read_file > generated_code:error,46,0.12885154061624648,5.0,0.8913043478260869
agent,claude_code,message > write_file > execute_probe > read_file > generated_code,36,0.10084033613445378,5.0,0.9166666666666666
agent,claude_code,message > error > execute_probe > generated_code:error,24,0.06722689075630252,4.0,0.9166666666666666
agent,claude_code,message > write_file > execute_probe > install > execute_probe > read_file > generated_code,9,0.025210084033613446,7.0,0.8888888888888888
agent,claude_code,message > write_file > error > read_file > generated_code,7,0.0196078431372549,5.0,1.0
agent,claude_code,message > error > execute_probe > error > read_file > generated_code:error,5,0.014005602240896359,6.0,1.0
agent,claude_code,message > error > execute_probe > write_file > read_file > generated_code:error,4,0.011204481792717087,6.0,1.0
agent,claude_code,message > error > read_file > generated_code:error,4,0.011204481792717087,4.0,1.0
agent,claude_code,message > write_file > error > generated_code,4,0.011204481792717087,4.0,1.0
agent,claude_code,message > error > execute_probe > read_file > inspect_workspace > read_file > generated_code:error,3,0.008403361344537815,7.0,1.0
agent,claude_code,message > write_file > execute_probe > read_file > execute_probe > generated_code,3,0.008403361344537815,6.0,1.0
agent,claude_code,message > error > execute_probe > read_file > execute_probe > generated_code:error,2,0.0056022408963585435,6.0,1.0
agent,claude_code,message > error > execute_probe > edit_file > read_file > edit_file > execute_probe > read_file > generated_code:error,2,0.0056022408963585435,9.0,1.0
agent,claude_code,message > write_file > install > execute_probe > edit_file > read_file > edit_file > execute_probe > read_file > generated_code,2,0.0056022408963585435,10.0,0.0
agent,claude_code,message > error > install > execute_probe > read_file > generated_code:error,2,0.0056022408963585435,6.0,1.0
agent,claude_code,message > write_file > error > execute_probe > read_file > generated_code,2,0.0056022408963585435,6.0,1.0
agent,claude_code,message > write_file > execute_probe > install > execute_probe > generated_code,2,0.0056022408963585435,6.0,0.5
agent,claude_code,message > error > execute_probe > install > execute_probe > install > execute_probe > read_file > generated_code:error,2,0.0056022408963585435,9.0,0.5
agent,claude_code,message > write_file > execute_probe > install > execute_probe > install > execute_probe > read_file > generated_code,2,0.0056022408963585435,9.0,1.0
agent,claudecode-opus47,message:error > finish:error,248,0.2692725298588491,2.0,0.0778688524590164
agent,claudecode-opus47,message > finish,213,0.23127035830618892,2.0,0.0330188679245283
agent,claudecode-opus47,error > message:error > finish:error,169,0.18349619978284473,3.0,0.0
agent,claudecode-opus47,error > message > finish,101,0.10966340933767643,3.0,0.0
agent,claudecode-opus47,write_file > message > finish,57,0.06188925081433225,3.0,0.0
agent,claudecode-opus47,error > read_file > error > message:error > finish:error,20,0.021715526601520086,5.0,0.0
agent,claudecode-opus47,write_file > message:error > finish:error,12,0.013029315960912053,3.0,0.0
agent,claudecode-opus47,error > read_file > error > message > finish,11,0.011943539630836048,5.0,0.0
agent,claudecode-opus47,error > inspect_workspace > read_file > error > message:error > finish:error,11,0.011943539630836048,6.0,0.0
agent,claudecode-opus47,message > error > message:error > finish:error,6,0.006514657980456026,4.0,0.0
agent,claudecode-opus47,write_file > read_file > write_file > message > finish,5,0.0054288816503800215,5.0,0.0
agent,claudecode-opus47,error > inspect_workspace > read_file > error > message > finish,5,0.0054288816503800215,6.0,0.0
agent,claudecode-opus47,message > write_file > message > finish,4,0.004343105320304018,4.0,0.0
agent,claudecode-opus47,write_file > inspect_workspace > read_file > write_file > message > finish,4,0.004343105320304018,6.0,0.0
agent,claudecode-opus47,inspect_workspace > error > message:error > finish:error,3,0.003257328990228013,4.0,0.0
agent,claudecode-opus47,message > error > message > finish,3,0.003257328990228013,4.0,0.0
agent,claudecode-opus47,read_file > message:error > finish:error,2,0.002171552660152009,3.0,0.0
agent,claudecode-opus47,write_file > inspect_workspace > read_file > message > finish,2,0.002171552660152009,5.0,0.0
agent,claudecode-opus47,error > read_file > error > read_file > error > message:error > finish:error,2,0.002171552660152009,7.0,0.0
agent,claudecode-opus47,read_file > write_file > message:error > finish:error,2,0.002171552660152009,4.0,0.0
agent,codex,message > inspect_workspace > execute_probe > read_file > message > generated_code,31,0.04138851802403204,6.0,0.8387096774193549
agent,codex,message > inspect_workspace > execute_probe > error > message > generated_code:error,18,0.02403204272363151,6.0,1.0
agent,codex,message > execute_probe > read_file > message > generated_code,15,0.020026702269692925,5.0,0.9333333333333333
agent,codex,message > inspect_workspace > read_file > execute_probe > read_file > message > generated_code,13,0.017356475300400534,7.0,0.7692307692307693
agent,codex,message > inspect_workspace > error > execute_probe > read_file > message > generated_code,13,0.017356475300400534,7.0,1.0
agent,codex,message > inspect_workspace > message > generated_code,12,0.01602136181575434,4.0,0.5
agent,codex,message > inspect_workspace > error > execute_probe > error > message:error > generated_code:error,11,0.014686248331108143,7.0,0.8181818181818182
agent,codex,message > inspect_workspace > error > execute_probe > error > message > generated_code:error,10,0.01335113484646195,7.0,0.8
agent,codex,message > inspect_workspace,10,0.01335113484646195,2.0,
agent,codex,message > inspect_workspace > read_file > execute_probe > error > message > generated_code:error,8,0.010680907877169559,7.0,0.625
agent,codex,message,8,0.010680907877169559,1.0,
agent,codex,message > inspect_workspace > execute_probe > read_file > message > generated_code:error,6,0.00801068090787717,6.0,0.8333333333333334
agent,codex,message > inspect_workspace > read_file > error > execute_probe > read_file > message > generated_code,6,0.00801068090787717,8.0,0.8333333333333334
agent,codex,message > inspect_workspace > execute_probe > message > generated_code,6,0.00801068090787717,5.0,
agent,codex,message > inspect_workspace > read_file > execute_probe > read_file > message > generated_code:error,5,0.006675567423230975,7.0,1.0
agent,codex,message > inspect_workspace > execute_probe > error > message:error > generated_code:error,5,0.006675567423230975,6.0,1.0
agent,codex,message > inspect_workspace > error > execute_probe > install > execute_probe > read_file > message > generated_code,5,0.006675567423230975,9.0,1.0
agent,codex,message > execute_probe > error > message > generated_code:error,5,0.006675567423230975,5.0,1.0
agent,codex,message > inspect_workspace > read_file > error > execute_probe > error > message > generated_code:error,4,0.0053404539385847796,8.0,1.0
agent,codex,message > inspect_workspace > execute_probe > read_file > execute_probe > message > generated_code,4,0.0053404539385847796,7.0,1.0
agent,codex-gpt54,message:error,182,0.1976112920738328,1.0,0.10112359550561797
agent,codex-gpt54,message,181,0.1965255157437568,1.0,0.049723756906077346
agent,codex-gpt54,inspect_workspace > error > message:error,38,0.04125950054288816,3.0,0.16216216216216217
agent,codex-gpt54,search > error > message:error,37,0.04017372421281216,3.0,0.16216216216216217
agent,codex-gpt54,inspect_workspace > search > error > message:error,37,0.04017372421281216,4.0,0.2702702702702703
agent,codex-gpt54,inspect_workspace > error > read_file > message:error,17,0.018458197611292075,4.0,0.375
agent,codex-gpt54,inspect_workspace > error > inspect_workspace > message:error,15,0.016286644951140065,4.0,0.26666666666666666
agent,codex-gpt54,inspect_workspace > message:error,12,0.013029315960912053,2.0,0.4166666666666667
agent,codex-gpt54,inspect_workspace > error > read_file > error > message:error,11,0.011943539630836048,5.0,0.2727272727272727
agent,codex-gpt54,inspect_workspace > search > error > inspect_workspace > message:error,9,0.009771986970684038,5.0,0.3333333333333333
agent,codex-gpt54,search > read_file > message,8,0.008686210640608035,3.0,0.375
agent,codex-gpt54,inspect_workspace > error > search > error > message:error,8,0.008686210640608035,5.0,0.0
agent,codex-gpt54,inspect_workspace > error > search > message:error,8,0.008686210640608035,4.0,0.25
agent,codex-gpt54,error > message:error,8,0.008686210640608035,2.0,0.25
agent,codex-gpt54,inspect_workspace > error > inspect_workspace > error > message:error,7,0.00760043431053203,5.0,0.14285714285714285
agent,codex-gpt54,search > inspect_workspace > error > message:error,7,0.00760043431053203,4.0,0.2857142857142857
agent,codex-gpt54,inspect_workspace > error > message,7,0.00760043431053203,3.0,0.16666666666666666
agent,codex-gpt54,inspect_workspace > search > error > read_file > message:error,7,0.00760043431053203,5.0,0.14285714285714285
agent,codex-gpt54,inspect_workspace > search > inspect_workspace > error > message:error,7,0.00760043431053203,5.0,0.0
agent,codex-gpt54,inspect_workspace > search > error > search > message:error,6,0.006514657980456026,5.0,0.0
agent,openhands,message > generated_code:error > message > generated_code:error,161,0.45098039215686275,4.0,0.28846153846153844
agent,openhands,message > generated_code:error,119,0.3333333333333333,2.0,0.46551724137931033
agent,openhands,message > generated_code:error > message > generated_code,77,0.21568627450980393,4.0,0.4647887323943662
agent,openhands-gpt54,message,128,0.13897937024972856,1.0,0.023622047244094488
agent,openhands-gpt54,message:error,77,0.08360477741585233,1.0,0.0
agent,openhands-gpt54,message > message:error,31,0.033659066232356136,2.0,0.03225806451612903
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > write_file > error,21,0.02280130293159609,6.0,0.14285714285714285
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > write_file > execute_probe > error,17,0.018458197611292075,7.0,0.17647058823529413
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error,16,0.01737242128121607,4.0,0.06666666666666667
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > execute_probe > error,14,0.01520086862106406,6.0,0.14285714285714285
agent,openhands-gpt54,message > read_file > inspect_workspace > write_file > execute_probe > agent_action,12,0.013029315960912053,6.0,0.25
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > agent_action > error,11,0.011943539630836048,6.0,0.18181818181818182
agent,openhands-gpt54,message:error > read_file > inspect_workspace > message:error,11,0.011943539630836048,4.0,0.0
agent,openhands-gpt54,message > read_file > inspect_workspace > message,9,0.009771986970684038,4.0,0.0
agent,openhands-gpt54,message:error > message,8,0.008686210640608035,2.0,0.0
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > write_file > read_file > error,8,0.008686210640608035,7.0,0.0
agent,openhands-gpt54,message > read_file > inspect_workspace > write_file > agent_action,7,0.00760043431053203,5.0,0.2857142857142857
agent,openhands-gpt54,message:error > read_file > message:error,7,0.00760043431053203,3.0,0.0
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > read_file > error,7,0.00760043431053203,6.0,0.0
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > execute_probe > write_file > error,7,0.00760043431053203,7.0,0.42857142857142855
agent,openhands-gpt54,message:error > read_file > inspect_workspace > error > write_file > agent_action > error,6,0.006514657980456026,7.0,0.16666666666666666
