group_type,group_value,from_token,to_token,count,probability
agent,claude_code,START,message,357,1.0
agent,claude_code,execute_probe,read_file,228,0.3756177924217463
agent,claude_code,generated_code:error,END,192,1.0
agent,claude_code,message,error,186,0.5210084033613446
agent,claude_code,error,execute_probe,184,0.5443786982248521
agent,claude_code,write_file,execute_probe,170,0.6204379562043796
agent,claude_code,generated_code,END,165,1.0
agent,claude_code,message,write_file,159,0.44537815126050423
agent,claude_code,read_file,generated_code:error,113,0.2736077481840194
agent,claude_code,inspect_workspace,execute_probe,102,0.4722222222222222
agent,claude_code,execute_probe,inspect_workspace,102,0.16803953871499178
agent,claude_code,read_file,generated_code,78,0.18886198547215496
agent,claude_code,execute_probe,generated_code,70,0.11532125205930807
agent,claude_code,read_file,execute_probe,69,0.16707021791767554
agent,claude_code,read_file,inspect_workspace,61,0.14769975786924938
agent,claude_code,error,read_file,54,0.15976331360946747
agent,claude_code,execute_probe,write_file,52,0.085667215815486
agent,claude_code,install,execute_probe,50,0.6944444444444444
agent,claude_code,inspect_workspace,read_file,46,0.21296296296296297
agent,claude_code,execute_probe,generated_code:error,46,0.0757825370675453
agent,claude_code,execute_probe,install,43,0.07084019769357495
agent,claude_code,execute_probe,error,37,0.060955518945634266
agent,claude_code,write_file,read_file,34,0.12408759124087591
agent,claude_code,read_file,error,33,0.07990314769975787
agent,claude_code,edit_file,read_file,32,0.47058823529411764
agent,claude_code,write_file,error,32,0.11678832116788321
agent,claude_code,inspect_workspace,error,28,0.12962962962962962
agent,claude_code,error,inspect_workspace,28,0.08284023668639054
agent,claude_code,read_file,edit_file,26,0.06295399515738499
agent,claude_code,edit_file,execute_probe,24,0.35294117647058826
agent,claude_code,execute_probe,edit_file,21,0.03459637561779242
agent,claude_code,error,write_file,21,0.0621301775147929
agent,claude_code,error,generated_code:error,18,0.05325443786982249
agent,claude_code,inspect_workspace,write_file,16,0.07407407407407407
agent,claude_code,read_file,write_file,14,0.03389830508474576
agent,claude_code,write_file,inspect_workspace,13,0.04744525547445255
agent,claude_code,inspect_workspace,search,12,0.05555555555555555
agent,claude_code,error,generated_code,12,0.03550295857988166
agent,claude_code,read_file,search,12,0.029055690072639227
agent,claude_code,error,install,12,0.03550295857988166
agent,claude_code,install,error,10,0.1388888888888889
agent,claude_code,search,inspect_workspace,9,0.23684210526315788
agent,claude_code,inspect_workspace,generated_code:error,9,0.041666666666666664
agent,claude_code,search,execute_probe,8,0.21052631578947367
agent,claude_code,execute_probe,search,8,0.013179571663920923
agent,claude_code,search,read_file,8,0.21052631578947367
agent,claude_code,write_file,install,8,0.029197080291970802
agent,claude_code,install,read_file,7,0.09722222222222222
