group_type,group_value,token,repeat_block_count,run_count_with_repeat,min_repeat_len,median_repeat_len,max_repeat_len,unique_repeat_lens,repeat_len_distribution,looks_fixed
agent,claude_code,edit_file,8,7,2,2.0,3,"2,3","{""2"": 7, ""3"": 1}",False
agent,claude_code,error,39,33,2,2.0,4,"2,3,4","{""2"": 33, ""3"": 5, ""4"": 1}",False
agent,claude_code,execute_probe,301,224,2,3.0,13,"2,3,4,5,6,7,8,9,10,11,12,13","{""2"": 106, ""3"": 69, ""4"": 41, ""5"": 28, ""6"": 20, ""7"": 17, ""8"": 9, ""9"": 4, ""10"": 2, ""11"": 1, ""12"": 2, ""13"": 2}",False
agent,claude_code,inspect_workspace,59,36,2,2.0,4,"2,3,4","{""2"": 44, ""3"": 13, ""4"": 2}",False
agent,claude_code,install,21,20,2,2.0,3,"2,3","{""2"": 17, ""3"": 4}",False
agent,claude_code,message,27,27,2,4.0,4,"2,4","{""2"": 2, ""4"": 25}",False
agent,claude_code,read_file,58,50,2,2.0,6,"2,3,4,6","{""2"": 40, ""3"": 15, ""4"": 2, ""6"": 1}",False
agent,claude_code,search,3,3,2,2.0,3,"2,3","{""2"": 2, ""3"": 1}",False
agent,claude_code,write_file,33,28,2,2.0,4,"2,3,4","{""2"": 26, ""3"": 4, ""4"": 3}",False
agent,claudecode-opus47,error,2,2,2,2.0,2,2,"{""2"": 2}",True
agent,claudecode-opus47,inspect_workspace,1,1,4,4.0,4,4,"{""4"": 1}",True
agent,claudecode-opus47,read_file,1,1,2,2.0,2,2,"{""2"": 1}",True
agent,claudecode-opus47,write_file,1,1,2,2.0,2,2,"{""2"": 1}",True
agent,codex,error,339,244,2,2.0,8,"2,3,4,5,6,7,8","{""2"": 214, ""3"": 74, ""4"": 23, ""5"": 15, ""6"": 8, ""7"": 3, ""8"": 2}",False
agent,codex,execute_probe,891,429,2,2.0,13,"2,3,4,5,6,7,8,9,10,11,13","{""2"": 462, ""3"": 217, ""4"": 104, ""5"": 56, ""6"": 20, ""7"": 17, ""8"": 5, ""9"": 6, ""10"": 2, ""11"": 1, ""13"": 1}",False
agent,codex,inspect_workspace,799,640,2,4.0,11,"2,3,4,5,6,7,8,9,10,11","{""2"": 192, ""3"": 142, ""4"": 238, ""5"": 133, ""6"": 51, ""7"": 19, ""8"": 10, ""9"": 8, ""10"": 3, ""11"": 3}",False
agent,codex,install,10,10,2,2.0,2,2,"{""2"": 10}",True
agent,codex,message,1,1,2,2.0,2,2,"{""2"": 1}",True
agent,codex,read_file,198,123,2,2.0,11,"2,3,4,5,6,11","{""2"": 119, ""3"": 50, ""4"": 19, ""5"": 5, ""6"": 4, ""11"": 1}",False
agent,codex,search,19,15,2,2.0,7,"2,3,7","{""2"": 15, ""3"": 3, ""7"": 1}",False
agent,codex,test,9,9,2,2.0,2,2,"{""2"": 9}",True
agent,codex,write_file,221,169,2,2.0,17,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,17","{""2"": 112, ""3"": 43, ""4"": 22, ""5"": 12, ""6"": 5, ""7"": 5, ""8"": 3, ""9"": 6, ""10"": 2, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 4, ""15"": 1, ""17"": 2}",False
agent,codex-gpt54,error,366,343,2,2.0,7,"2,3,4,5,6,7","{""2"": 197, ""3"": 110, ""4"": 39, ""5"": 13, ""6"": 5, ""7"": 2}",False
agent,codex-gpt54,execute_probe,13,13,2,2.0,8,"2,3,4,6,8","{""2"": 9, ""3"": 1, ""4"": 1, ""6"": 1, ""8"": 1}",False
agent,codex-gpt54,inspect_workspace,75,70,2,2.0,9,"2,3,4,9","{""2"": 65, ""3"": 8, ""4"": 1, ""9"": 1}",False
agent,codex-gpt54,item.updated,1,1,2,2.0,2,2,"{""2"": 1}",True
agent,codex-gpt54,message:error,1,1,2,2.0,2,2,"{""2"": 1}",True
agent,codex-gpt54,read_file,38,38,2,2.0,7,"2,3,4,5,6,7","{""2"": 29, ""3"": 2, ""4"": 3, ""5"": 2, ""6"": 1, ""7"": 1}",False
agent,codex-gpt54,search,52,51,2,2.0,3,"2,3","{""2"": 42, ""3"": 10}",False
agent,codex-gpt54,web_search,2,2,4,9.5,15,"4,15","{""4"": 1, ""15"": 1}",False
agent,openhands-gpt54,agent_action,320,208,2,2.0,6,"2,3,4,5,6","{""2"": 252, ""3"": 47, ""4"": 18, ""5"": 1, ""6"": 2}",False
agent,openhands-gpt54,edit_file,44,40,2,2.0,6,"2,3,4,5,6","{""2"": 25, ""3"": 11, ""4"": 4, ""5"": 3, ""6"": 1}",False
agent,openhands-gpt54,error,264,216,2,2.0,5,"2,3,4,5","{""2"": 196, ""3"": 55, ""4"": 10, ""5"": 3}",False
agent,openhands-gpt54,execute_probe,32,30,2,2.0,4,"2,3,4","{""2"": 28, ""3"": 3, ""4"": 1}",False
agent,openhands-gpt54,inspect_workspace,89,80,2,2.0,3,"2,3","{""2"": 79, ""3"": 10}",False
agent,openhands-gpt54,message,128,128,2,2.0,2,2,"{""2"": 128}",True
agent,openhands-gpt54,message:error,77,77,2,2.0,2,2,"{""2"": 77}",True
agent,openhands-gpt54,read_file,585,492,2,2.0,11,"2,3,4,5,7,11","{""2"": 534, ""3"": 34, ""4"": 9, ""5"": 6, ""7"": 1, ""11"": 1}",False
agent,openhands-gpt54,search,6,6,2,2.0,3,"2,3","{""2"": 4, ""3"": 2}",False
agent,openhands-gpt54,test,1,1,2,2.0,2,2,"{""2"": 1}",True
agent,openhands-gpt54,write_file,155,135,2,2.0,5,"2,3,4,5","{""2"": 121, ""3"": 28, ""4"": 5, ""5"": 1}",False
